Sunday, 3rd January 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Preacher: The Reverend Mark Birch Minor Canon and Precentor
Wednesday, 17th February 2021	12.30pm	Sung Eucharist with the Imposition of Ashes	Nave	sung by a cantor	Setting: plainsong Mass XVIII 'Deus Genitor alme'
Wednesday, 17th February 2021	12.30pm	Sung Eucharist with the Imposition of Ashes	Nave	sung by a cantor	Motets: Humfrey A Hymn to God the Father
Wednesday, 17th February 2021	12.30pm	Sung Eucharist with the Imposition of Ashes	Nave	sung by a cantor	Gibbons O Lord, in thy wrath, rebuke me not
Sunday, 7th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	plainsong Mass XVII
Sunday, 7th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Handel (1675–1750) Blessed are they that considereth the poor and needy (Foundling Hospital Anthem HWV 268)
Sunday, 7th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Bach Benedictus (Mass in B minor BWV 232)
Sunday, 7th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Bach Prelude and Fugue in A minor BWV 543
Sunday, 14th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	plainsong Mass XVII
Sunday, 14th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Mendelssohn O rest in the Lord (Elijah Op 70)
Sunday, 14th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Wesley Lead me, Lord (Praise the Lord, O my soul)
Sunday, 14th March 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Mendelssohn Con moto maestoso (Sonata in A Op 65 no 3)
Thursday, 25th March 2021	12.30pm	Sung Eucharist	Quire	sung by a cantor	plainsong Mass IX 'Cum jubilo'
Thursday, 25th March 2021	12.30pm	Sung Eucharist	Quire	sung by a cantor	Wood Magnificat
Thursday, 25th March 2021	12.30pm	Sung Eucharist	Quire	sung by a cantor	Palestrina Ave Maria
Thursday, 25th March 2021	12.30pm	Sung Eucharist	Quire	sung by a cantor	Bach Fugue on the Magnificat BWV 733
Thursday, 1st April 2021	6.00pm	Sung Eucharist	Nave	sung by Lay Vicars	Byrd Mass for three voices
Thursday, 1st April 2021	6.00pm	Sung Eucharist	Nave	sung by Lay Vicars	Hendrie Ave verum corpus
Friday, 16th April 2021	6.00pm	Sung Requiem Eucharist	Nave	sung by Lay Vicars	Preacher: The Very Reverend Dr David Hoyle Dean of Westminster
Sunday, 18th April 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	plainsong Mass I 'Lux et origo'
Sunday, 18th April 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Vaughan Williams I got me flowers (Five Mystical Songs)
Sunday, 18th April 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Franck Panis angelicus
Sunday, 18th April 2021	11.15am	Sung Eucharist	Quire	sung by a cantor	Vierne Final (Symphonie I Op 14)
Sunday, 25th April 2021	3.00pm	Evensong	Quire	sung by the Lay Vicars	Sheppard Christ our paschal Lamb
Sunday, 25th April 2021	3.00pm	Evensong	Quire	sung by the Lay Vicars	Tallis Responses
Sunday, 25th April 2021	3.00pm	Evensong	Quire	sung by the Lay Vicars	Sheppard First service
Sunday, 25th April 2021	3.00pm	Evensong	Quire	sung by the Lay Vicars	Tallis Sermone blandoSchmidt Prelude and Fugue in D 'Hallelujah'
Sunday, 25th April 2021	3.00pm	Evensong	Quire	sung by the Lay Vicars	Preacher: The Reverend Dr James Hawkey Canon in Residence
Tuesday, 27th April 2021	5.00pm	Evensong	Quire		Smith Responses
Tuesday, 27th April 2021	5.00pm	Evensong	Quire		Dyson in F
Tuesday, 27th April 2021	5.00pm	Evensong	Quire		Byrd Haec dies
Saturday, 1st May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Smith Responses
Saturday, 1st May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Mundy Magnificat secundi toni
Saturday, 1st May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Victoria Nunc dimittis tertii toni
Saturday, 1st May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Viadana Exsultate justi in Domino
Saturday, 1st May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Böhm Praeludium in C
Sunday, 2nd May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Padilla Missa Ego flos campi
Sunday, 2nd May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Bassano Dic nobis Maria
Sunday, 2nd May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Byrd O sacrum convivium
Sunday, 2nd May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Bach Toccata in F BWV 540i
Sunday, 2nd May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Byrd Terra tremuit
Sunday, 2nd May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Smith Responses
Sunday, 2nd May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Wesley in E
Sunday, 2nd May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Wesley Blessed be the God and Father
Sunday, 2nd May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Parry Fantasia in G Op 188
Tuesday, 4th May 2021	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Tomkins Responses
Tuesday, 4th May 2021	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Tomkins Fifth Service
Tuesday, 4th May 2021	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Tomkins My shepherd is the living Lord
Saturday, 8th May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Tomkins Responses
Saturday, 8th May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Sumsion in G
Saturday, 8th May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Casciolini Angelus Domini
Sunday, 9th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Byrd Mass for five voices
Sunday, 9th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Palestrina Dextera Domini
Sunday, 9th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Byrd Ave verum corpus
Sunday, 9th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Buxtehude Praeludium in D BuxWV 139
Sunday, 9th May 2021	3.00pm	Evensong with the Installation of The Reverend Tricia Hillas as Canon of Westminster	Quire	sung by the Choir of Westminster Abbey	Harris Holy is the true light
Sunday, 9th May 2021	3.00pm	Evensong with the Installation of The Reverend Tricia Hillas as Canon of Westminster	Quire	sung by the Choir of Westminster Abbey	Tomkins Responses
Sunday, 9th May 2021	3.00pm	Evensong with the Installation of The Reverend Tricia Hillas as Canon of Westminster	Quire	sung by the Choir of Westminster Abbey	Howells in G
Sunday, 9th May 2021	3.00pm	Evensong with the Installation of The Reverend Tricia Hillas as Canon of Westminster	Quire	sung by the Choir of Westminster Abbey	Stanford Ye choirs of new Jerusalem
Sunday, 9th May 2021	3.00pm	Evensong with the Installation of The Reverend Tricia Hillas as Canon of Westminster	Quire	sung by the Choir of Westminster Abbey	Howells Paean
Tuesday, 11th May 2021	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Morley Responses
Tuesday, 11th May 2021	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Morley First Service
Tuesday, 11th May 2021	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Palestrina Exaltabo te Domine
Thursday, 13th May 2021	12.30pm	Sung Eucharist	Nave	sung by a cantor	Langlais Missa in simplicitate
Thursday, 13th May 2021	12.30pm	Sung Eucharist	Nave	sung by a cantor	Bach Es will der Höchste sich ein Siegsgepräng bereiten and Ja tausend mal tausend begleiten den Wagen (Gott fähret auf mit Jauchzen BWV 43)
Thursday, 13th May 2021	12.30pm	Sung Eucharist	Nave	sung by a cantor	Bach Benedictus (Mass in B minor BWV 232)
Thursday, 13th May 2021	12.30pm	Sung Eucharist	Nave	sung by a cantor	Messiaen Transports de joie d'une âme devant la gloire du Christ qui est la sienne (L'ascension)
Saturday, 15th May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Morley Responses
Saturday, 15th May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Marenzio Magnificat octavi toni
Saturday, 15th May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Victoria Nunc dimittis tertii toni
Saturday, 15th May 2021	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Mendelssohn I waited for the Lord
Sunday, 16th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Mozart Missa in C K220 ‘Spatzenmesse’
Sunday, 16th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Gibbons O clap your hands together
Sunday, 16th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Guerrero O sacrum convivium
Sunday, 16th May 2021	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Buxtehude Praeludium in C BuxWV 136
