Monday, 2nd January 2023	5.00pm	Evensong	Quire	sung by the Happenstance Singers	Tomkins Responses
Monday, 2nd January 2023	5.00pm	Evensong	Quire	sung by the Happenstance Singers	Noble in B minor
Monday, 2nd January 2023	5.00pm	Evensong	Quire	sung by the Happenstance Singers	Lawson Lullay, mine liking
Thursday, 5th January 2023	5.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Mayfield Consort	Walsh Responses
Thursday, 5th January 2023	5.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Mayfield Consort	Brewer in D
Thursday, 5th January 2023	5.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Mayfield Consort	Rutter There is a flower
Friday, 6th January 2023	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	plainsong Ecce advenit
Friday, 6th January 2023	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	Byrd Mass for three voices
Friday, 6th January 2023	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	Morales Cum natus esset Jesus
Saturday, 7th January 2023	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Clucas There came a voice from heaven
Saturday, 7th January 2023	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Moore Responses
Saturday, 7th January 2023	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Moore in A
Saturday, 7th January 2023	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Moore Lo! that is a marvellous change
Saturday, 7th January 2023	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Litaize Epiphanie
Sunday, 8th January 2023	10.00am	Matins	St Margaret's Church	sung by the Lay Vicars	Clucas There came a voice from heaven
Sunday, 8th January 2023	10.00am	Matins	St Margaret's Church	sung by the Lay Vicars	Moore Responses
Sunday, 8th January 2023	10.00am	Matins	St Margaret's Church	sung by the Lay Vicars	Clucas Te Deum (Westminster Service)
Sunday, 8th January 2023	10.00am	Matins	St Margaret's Church	sung by the Lay Vicars	Whitlock Lantana (Plymouth Suite)
Sunday, 8th January 2023	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Palestrina Missa L’homme armé 
Sunday, 8th January 2023	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Palestrina Tribus miraculis
Sunday, 8th January 2023	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Bach Prelude and Fugue in C BWV 545
Sunday, 8th January 2023	3.00pm	Evensong	Quire	sung by the Lay Vicars	Clucas There came a voice from heaven
Sunday, 8th January 2023	3.00pm	Evensong	Quire	sung by the Lay Vicars	Moore Responses
Sunday, 8th January 2023	3.00pm	Evensong	Quire	sung by the Lay Vicars	Sumsion in G
Sunday, 8th January 2023	3.00pm	Evensong	Quire	sung by the Lay Vicars	Elgar Seek him that maketh the seven stars
Sunday, 8th January 2023	3.00pm	Evensong	Quire	sung by the Lay Vicars	Leighton Paean
