Thursday, 2nd January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Smith Responses
Thursday, 2nd January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Walmisley Evening Canticles in D minor
Thursday, 2nd January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Emery Torches
Friday, 3rd January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Smith Responses
Friday, 3rd January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Wood Evening Canticles in D
Friday, 3rd January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Berkeley I sing of a maiden
Saturday, 4th January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Smith Responses
Saturday, 4th January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Murrill Evening Canticles in E
Saturday, 4th January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Watson Henderson Lullaby for the Christ Child
Saturday, 4th January 2025	5.00pm	Evensong	Quire	sung by the Cathedral Singers of Ontario, Canada	Bach Vom Himmel hoch, da komm ich her
Sunday, 5th January 2025	11.15am	Sung Eucharist	High Altar	sung by the Cathedral Singers of Ontario, Canada	Darke Communion Service in F
Sunday, 5th January 2025	11.15am	Sung Eucharist	High Altar	sung by the Cathedral Singers of Ontario, Canada	Willan O sacred feast
Sunday, 5th January 2025	11.15am	Sung Eucharist	High Altar	sung by the Cathedral Singers of Ontario, Canada	Messiaen Dieu parmi nous
Sunday, 5th January 2025	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Cathedral Singers of Ontario, Canada	Smith Responses
Sunday, 5th January 2025	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Cathedral Singers of Ontario, Canada	Howells Collegium Regale
Sunday, 5th January 2025	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Cathedral Singers of Ontario, Canada	Howells Here is the little door
Sunday, 5th January 2025	3.00pm	First Evensong of the Epiphany of Our Lord	Quire	sung by the Cathedral Singers of Ontario, Canada	Howells Master Tallis's Testament
Monday, 6th January 2025	5.00pm	Sung Eucharist	High Altar	sung by the Westminster Abbey Special Service Choir	Tallis Missa Puer natus est nobis
