Sunday, 2nd January 2022	11.15am	Sung Eucharist	Quire	sung by St. Thomas’ Church Choir, Mellor	Darke Communion Service in F
Sunday, 2nd January 2022	11.15am	Sung Eucharist	Quire	sung by St. Thomas’ Church Choir, Mellor	Darke In the bleak midwinter
Sunday, 2nd January 2022	3.00pm	Evensong	Quire	sung by St. Thomas’ Church Choir, Mellor	Ayleward Responses
Sunday, 2nd January 2022	3.00pm	Evensong	Quire	sung by St. Thomas’ Church Choir, Mellor	Purcell in G minor
Sunday, 2nd January 2022	3.00pm	Evensong	Quire	sung by St. Thomas’ Church Choir, Mellor	arr Willcocks Sussex Carol
Thursday, 6th January 2022	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	plainsong Ecce advenit
Thursday, 6th January 2022	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	Palestrina Missa L’homme armé
Thursday, 6th January 2022	5.00pm	Sung Eucharist	Quire	sung by the Lay Vicars	Byrd Surge illuminare Jerusalem
Saturday, 8th January 2022	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Heintz Christ unser Herr zum Jordan kam
Saturday, 8th January 2022	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Tallis Responses
Saturday, 8th January 2022	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Ives Magdalen Service
Saturday, 8th January 2022	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Moore Lo, that is a marvellous change
Saturday, 8th January 2022	5.00pm	First Evensong of the Baptism of Christ	Quire	sung by the Lay Vicars	Lloyd Webber Benedictus
Sunday, 9th January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Palestrina Missa Ut re mi fa sol la
Sunday, 9th January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Palestrina Tribus miraculis
Sunday, 9th January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Saint-Saëns Fantaisie I in E flat
Sunday, 9th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Heintz Christ unser Herr zum Jordan kam
Sunday, 9th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Tallis Responses
Sunday, 9th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Sheppard First Service
Sunday, 9th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Guerrero Pastores loquebantur
Sunday, 9th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Buxtehude Praeludium in D BuxWV 139
Monday, 10th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	plainsong Crudelis Herodes
Monday, 10th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	plainsong Responses
Monday, 10th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Vaughan Williams in D
Monday, 10th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Mendelssohn If with all your hearts
Tuesday, 11th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Mendelssohn Herr Gott, du bist unsre Zuflucht
Tuesday, 11th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Byrd Responses
Tuesday, 11th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Tomkins Fifth Service
Tuesday, 11th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Bull Almighty God, which by the leading of a star
Thursday, 13th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Mendelssohn Herr Gott, du bist unsre Zuflucht
Thursday, 13th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Byrd Responses
Thursday, 13th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Wood in E flat No 2
Thursday, 13th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Wood Hail, gladdening light
Friday, 14th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	plainsong Te lucis ante terminum
Friday, 14th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	plainsong Responses
Friday, 14th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Magnificat tone IV
Friday, 14th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Nunc dimittis tone V
Friday, 14th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Britten A New Year Carol
Saturday, 15th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Byrd Tui sunt caeli
Saturday, 15th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Responses Tallis
Saturday, 15th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Victoria Magnificat quarti toni
Saturday, 15th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Vento Nunc dimittis quarti toni
Saturday, 15th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Clemens non Papa Magi veniunt ab oriente
Saturday, 15th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Bach Wie schön leuchtet der Morgenstern BWV 739
Sunday, 16th January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Victoria Missa Alma Redemptoris mater
Sunday, 16th January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Byrd Vidimus stellam
Sunday, 16th January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Litaize Epiphanie
Sunday, 16th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Byrd Tui sunt caeli
Sunday, 16th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Tallis Responses
Sunday, 16th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Moore in A
Sunday, 16th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Elgar Seek him that maketh the seven stars
Sunday, 16th January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Howells Paean
Tuesday, 18th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Byrd Reges Tharsis et insulae
Tuesday, 18th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	plainsong Responses
Tuesday, 18th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Mundy in four parts
Tuesday, 18th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Byrd Spiritus Domini
Thursday, 20th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Byrd Gloria tibi Domine
Thursday, 20th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	plainsong Responses
Thursday, 20th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Guerrero Magnificat primi toni
Thursday, 20th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Quinney Nunc Dimittis tertii toni
Thursday, 20th January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Byrd Ecce advenit Dominator Dominus
Saturday, 22nd January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Muhly Oculi omnium
Saturday, 22nd January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Moore Responses
Saturday, 22nd January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Moore First Service
Saturday, 22nd January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	Clucas Jubilate
Saturday, 22nd January 2022	5.00pm	Evensong	Quire	sung by the Lay Vicars	McDowall Celebration
Sunday, 23rd January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Taverner Mean Mass
Sunday, 23rd January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Byrd Factus est repente
Sunday, 23rd January 2022	11.15am	Sung Eucharist	Quire	sung by the Lay Vicars	Messiaen Dans le Verbe était la Vie et la Vie était la Lumière (Méditations sur le Mystère de la Sainte Trinité)
Sunday, 23rd January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Muhly Oculi omnium
Sunday, 23rd January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Moore Responses
Sunday, 23rd January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Clucas Westminster Service
Sunday, 23rd January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Bennett The Seasons of His Mercies
Sunday, 23rd January 2022	3.00pm	Evensong	Quire	sung by the Lay Vicars	Jackson Toccata (Toccata, Chorale, and Fugue Op 16)
Tuesday, 25th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Viadana Exultate justi
Tuesday, 25th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Smith Responses
Tuesday, 25th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Stanford in C
Tuesday, 25th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Bruckner Christus factus est
Thursday, 27th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Rachmaninoff To thee, O Lord
Thursday, 27th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Smith Responses
Thursday, 27th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Palestrina Magnificat quarti toni
Thursday, 27th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Victoria Nunc dimittis tertii toni
Thursday, 27th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Moore Evening Prayers
Friday, 28th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	plainsong Te lucis ante terminum
Friday, 28th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	plainsong Responses
Friday, 28th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Magnificat tone II
Friday, 28th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Nunc dimittis tone VIII
Friday, 28th January 2022	5.00pm	Evensong	Quire	sung by the Choristers	Mendelssohn Caro cibus
Saturday, 29th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Rachmaninoff To thee, O Lord
Saturday, 29th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Smith Responses
Saturday, 29th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Leighton Magdalen College Service
Saturday, 29th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Harvey I love the Lord
Saturday, 29th January 2022	5.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Vierne Allegro maestoso (Symphonie III Op 28)
Sunday, 30th January 2022	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Byrd Mass for five voices
Sunday, 30th January 2022	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Rebelo Panis angelicus
Sunday, 30th January 2022	11.15am	Sung Eucharist	Quire	sung by the Choir of Westminster Abbey	Byrd Fantasia in C
Sunday, 30th January 2022	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Rachmaninoff To thee, O Lord
Sunday, 30th January 2022	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Smith Responses
Sunday, 30th January 2022	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Tippett St John's College Service
Sunday, 30th January 2022	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Brahms Wie lieblich sind deine Wohnungen
Sunday, 30th January 2022	3.00pm	Evensong	Quire	sung by the Choir of Westminster Abbey	Dupré Prelude and Fugue in G minor Op 7 no 3
